person_name,user_name,email,personal_number,birthh_date,address,phone_numer,mac_adress,ip_address,clabe,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Nadia Moreno Heredia,nadiamorenoheredia,nadiamorenoheredia@gmail.com,6892310449,1972-03-13,"Retorno Zaragoza 151 Edif. 716 , Depto. 067, San Iván de la Montaña, Q. ROO 08180",673.085.9235x855,74:27:a7:78:1f:bb,144.40.88.229,GB23AXAY5909445751113,2026-05-27 00:06:57,6568,925,568,1146531,6dec2651-398f-4dd2-8ec4-81c70e38d055
Pascual Briones,pascualbriones,pascualbriones@hotmail.com,88391227993,1983-11-15,"Prolongación Madera 884 701, Vieja Nueva Zelandia, MICH 85625",1-844-502-9774x426,10:6d:0e:f3:f5:3e,63.88.33.126,GB29PDDE9945948736379,2026-05-27 00:06:57,17284,502,735,243941,056f3945-2fd7-4fa7-b881-ecbd679078bc
Reynaldo Alfonso Rolón,reynaldoalfonsorolón,reynaldoalfonsorolón@gmail.com,50185246159,1963-05-25,"Cerrada Gambia 105 Edif. 271 , Depto. 363, Nueva Eritrea, COL 30409-2086",1-296-154-5466x103,b0:bc:d1:45:fd:93,1.199.140.184,GB24VBEO2407478086834,2026-05-27 00:06:57,26927,533,778,256160,e36a3cb7-3242-4dd1-a139-672a2a6e3552
Ariadna Barraza Ramón,ariadnabarrazaramón,ariadnabarrazaramón@yahoo.com,51334623249,1965-11-10,"Periférico Arroyo 005 611, Nueva Chile, COAH 65282",167.765.6487x949,d4:35:80:d4:1c:1b,97.215.181.191,GB79PUFG5048016552246,2026-05-27 00:06:57,25371,52,13,1491457,cede6d31-b39d-4d6d-b58e-0a2aba9de33d
Mitzy Conchita Monroy,mitzyconchitamonroy,mitzyconchitamonroy@gmail.com,92144465603,1956-05-14,"Prolongación Madrigal 750 057, Vieja Chile, MICH 30851",701.040.8223x761,0a:e6:5e:f4:55:56,189.163.36.182,GB35GMYQ0584311666910,2026-05-27 00:06:57,28876,82,202,1185452,7d642d1a-4e0e-4361-9b6b-a167cd4192ba
Dr. José Emilio Espinal,dr.joséemilioespinal,dr.joséemilioespinal@gmail.com,57222043457,2006-04-11,"Circuito Jaime 294 535, San Alejandro los altos, AGS 45386-2595",734-506-9844x0558,0e:3a:dc:2c:42:42,121.27.130.44,GB94EMWN4231056740673,2026-05-27 00:06:57,15318,657,318,762704,eeaca5f7-d017-498c-a967-b986ecad1c0a
Eloy Alberto Montez Duarte,eloyalbertomontezduarte,eloyalbertomontezduarte@yahoo.com,19644355125,1979-12-09,"Cerrada Zamora 902 155, San Rolando los bajos, NL 66535",1-756-502-6818x05216,0c:f4:37:2f:ae:47,65.242.140.177,GB64AOEG8742310373726,2026-05-27 00:06:57,26404,126,630,825724,27bdad2c-bc15-4c0b-b156-8581a9c0ab16
Ing. Reina Sauceda,ing.reinasauceda,ing.reinasauceda@gmail.com,67557576062,2000-01-07,"Avenida Islandia 623 630, San Bernardo los bajos, CHIH 64342-3897",932-286-9655,0c:49:cd:bc:b1:e3,54.194.192.66,GB70KGSV1511296866673,2026-05-27 00:06:57,4,198,411,612050,5ee870db-5d16-4537-9bc6-a88ddd0122bf
Salvador Gabino Becerra,salvadorgabinobecerra,salvadorgabinobecerra@gmail.com,2439155454,1988-12-15,"Corredor Loera 149 Interior 048, San Gilberto de la Montaña, MICH 58477",260.445.2782,e4:52:ab:e7:6c:23,106.204.82.173,GB51JOBF9860355451518,2026-05-27 00:06:57,24430,528,454,889782,207e4b15-69f8-436a-b45e-780f165482fd
Karla Nadia Quintana,karlanadiaquintana,karlanadiaquintana@yahoo.com,94335891027,1954-11-03,"Prolongación Norte Peña 519 Interior 112, San Hernán de la Montaña, JAL 03063",(374)480-2767,5e:72:c8:71:97:d4,160.202.131.47,GB77XABH5275637706484,2026-05-27 00:06:57,26473,890,749,1380190,e4c8f3a8-f16a-4f4c-91ec-6c762a4d828d
Raúl Eugenio Henríquez Bravo,raúleugeniohenríquezbravo,raúleugeniohenríquezbravo@hotmail.com,59753740360,1917-08-15,"Boulevard Colima 261 Edif. 951 , Depto. 656, Vieja Indonesia, TLAX 76804",(107)331-1778,92:02:07:37:43:97,106.147.164.154,GB83KVWR2821072703776,2026-05-27 00:06:57,3288,1,784,946110,f2011ffd-259e-4f8a-b169-638f76ae22d9
Alfonso Nazario,alfonsonazario,alfonsonazario@yahoo.com,69765973651,1998-04-08,"Corredor Norte Luna 871 Edif. 895 , Depto. 233, Nueva Irlanda, COAH 56350-0901",09593072353,02:b9:97:07:45:f2,95.96.3.193,GB55TQSL7231011809658,2026-05-27 00:06:57,9448,402,173,780307,2b82055e-2db3-4a6b-8660-ad79d741669b
Óscar Roberto Montoya,óscarrobertomontoya,óscarrobertomontoya@hotmail.com,82930068935,1998-12-19,"Diagonal Sur Mares 333 Interior 108, San Vicente los altos, COAH 76623",002-487-4608x301,e0:48:f9:c6:32:72,8.46.162.177,GB82EOCL3200546906933,2026-05-27 00:06:57,13895,933,798,536344,bb1d3310-3b05-4acf-a77f-a195dd8a341f
Frida Angélica Quezada,fridaangélicaquezada,fridaangélicaquezada@yahoo.com,92620679743,1921-01-22,"Viaducto Sur Arguello 189 Interior 280, San Benito los altos, MEX 44616-5384",307.313.5153x825,66:a1:eb:a1:97:5d,133.45.86.50,GB02TQKN8592184902490,2026-05-27 00:06:57,34916,649,231,1127147,549c7c4a-a236-418c-8599-17344e8b64b7
Alta  Gracia Corral,altagraciacorral,altagraciacorral@hotmail.com,48609962385,2017-01-18,"Retorno Noruega 488 914, Nueva Serbia, BCS 98217-5860",971-691-8562,40:f1:1f:52:e8:64,56.253.165.118,GB98AYEN7836807166041,2026-05-27 00:06:57,20568,500,441,1551237,e3330cbe-a2f0-4779-b900-95f632a685b5
Itzel Acevedo Patiño,itzelacevedopatiño,itzelacevedopatiño@yahoo.com,52880761623,2010-07-31,"Continuación Sur Gálvez 516 Interior 605, San Helena los bajos, SON 67912-2410",1-641-945-9929,1a:6b:7e:0e:d4:06,85.1.232.24,GB26LNKS4712094178327,2026-05-27 00:06:57,21444,545,63,262226,67374ffe-b284-4eed-b5bd-2a7b6b6b468d
Araceli Ramírez Ozuna,araceliramírezozuna,araceliramírezozuna@gmail.com,12706250656,1922-03-30,"Ampliación Guerrero 423 Interior 334, San Abril los bajos, CAMP 16371",1-601-936-8463,b2:b8:df:21:e4:77,87.39.138.82,GB78FULM4240094760091,2026-05-27 00:06:57,13492,422,99,700731,23f5b41f-ab09-4d8f-8336-bbd09a1d259a
Sra. Lucía Cordero,sra.lucíacordero,sra.lucíacordero@hotmail.com,84463360440,1934-05-28,"Ampliación Bolivia 939 476, San Augusto los bajos, SLP 76327-9252",02850047454,d0:d2:81:34:67:02,16.228.14.62,GB39GXUP4503732805145,2026-05-27 00:06:57,11665,652,59,696457,ab560da4-120e-4835-b940-28bed5639521
Óliver Porfirio Moya Cardona,óliverporfiriomoyacardona,óliverporfiriomoyacardona@hotmail.com,37319934750,1936-05-24,"Calle Jaimes 976 102, San Gilberto de la Montaña, SON 61022",1-670-881-7531x445,50:74:00:86:76:3b,182.67.163.240,GB18KTVD5604940674228,2026-05-27 00:06:57,4856,544,91,1137014,806399dc-922b-413d-8846-0c401536f4f9
Vicente Jerónimo Verduzco Covarrubias,vicentejerónimoverduzcocovarrubias,vicentejerónimoverduzcocovarrubias@yahoo.com,69703089826,2025-03-21,"Retorno Ghana 733 Interior 367, San Rebeca de la Montaña, OAX 37456-0421",932-033-4403,1e:a5:7b:c1:6b:7e,9.53.3.157,GB05URDB0349106617309,2026-05-27 00:06:57,3122,92,56,1452591,0f9698e9-0087-4178-8566-074d098abe85
Cristina Guadalupe Santillán Girón,cristinaguadalupesantillángirón,cristinaguadalupesantillángirón@hotmail.com,1831709397,1941-02-17,"Privada Tamaulipas 045 Interior 327, Nueva Ecuador, OAX 63898",1-919-267-6515,c4:b3:42:46:e1:43,194.106.160.136,GB63BAES8678533688103,2026-05-27 00:06:57,8229,380,427,395937,647a2b02-62c2-4a68-8765-1a0b68aff5bb
Gilberto Farías Rincón,gilbertofaríasrincón,gilbertofaríasrincón@yahoo.com,63622247557,2003-03-01,"Ampliación Norte Tafoya 329 Interior 310, San Ofelia los bajos, MICH 23654",738-127-2165x64549,7c:6f:d1:6e:18:db,112.250.24.38,GB86CMCX2674280088054,2026-05-27 00:06:57,24777,633,119,1099348,fd9a1092-d8fc-40f5-9183-35498521be6b
Lic. Nicolás Véliz,lic.nicolásvéliz,lic.nicolásvéliz@yahoo.com,38171034200,2009-11-05,"Viaducto Espino 411 Edif. 480 , Depto. 370, San Gregorio los bajos, MEX 45766-5423",(279)246-0249x06527,70:1b:b7:3f:2a:38,38.202.6.64,GB61MKHH1795076623272,2026-05-27 00:06:57,12346,195,350,544100,287e8ab0-61cd-4bca-9df6-f915e138c60f
Judith Rodríguez,judithrodríguez,judithrodríguez@hotmail.com,96624596290,1977-12-18,"Circunvalación Sur Mercado 482 372, Vieja Bulgaria, MICH 31307-3489",1-364-174-8974,68:81:b3:01:81:f1,56.230.47.115,GB69BKXP4352673845144,2026-05-27 00:06:57,27194,88,472,1174446,1f4a15b0-4b2b-4c9d-b502-1c1b6228c59e
Nayeli Medrano,nayelimedrano,nayelimedrano@gmail.com,92318483564,1959-08-21,"Calle Dominicana 870 622, Vieja Suiza, SON 71162",1-909-211-7733x719,ce:e1:13:cd:7e:23,54.162.241.235,GB88KDCX4271914795233,2026-05-27 00:06:57,19739,283,718,1628467,f5af981b-958e-4e42-b53c-1e264836cb91
Cristian Villegas,cristianvillegas,cristianvillegas@yahoo.com,63167091410,1910-11-06,"Diagonal Quesada 443 Edif. 755 , Depto. 795, San Marco Antonio los bajos, PUE 06033",(727)953-2921x29949,62:6e:f0:6b:04:0a,3.218.69.39,GB02PBGK5949039022280,2026-05-27 00:06:57,15208,278,520,1608015,2970f02c-1a6d-4b44-af4a-ac3a99390772
Ruby Barrios Guillen,rubybarriosguillen,rubybarriosguillen@yahoo.com,44702772847,1931-09-28,"Calzada Polanco 756 Interior 188, Vieja Bélgica, OAX 00430",957.416.3100,e8:99:0b:f6:ca:00,29.18.175.146,GB51VQHW4263867651922,2026-05-27 00:06:57,1353,601,409,582815,66c6dd70-87d7-43a2-ba23-9a4e47f0935c
Eugenia Zoé Quesada,eugeniazoéquesada,eugeniazoéquesada@hotmail.com,16165212180,1924-04-18,"Eje vial Mateo 615 537, San Clemente los altos, VER 13273",275.404.0004x341,c0:35:d6:15:26:69,73.1.111.188,GB27GGFR1311586196763,2026-05-27 00:06:57,3901,667,741,914154,65de3318-7e3b-45ed-83ec-258809a26af8
Dr. Jacobo Ybarra,dr.jacoboybarra,dr.jacoboybarra@hotmail.com,21596452249,2010-02-15,"Corredor Tabasco 802 Interior 253, Vieja Haití, NAY 80331",404.049.6475x6714,d2:16:f1:43:e7:5a,144.32.99.108,GB19ZXVO7601925968925,2026-05-27 00:06:57,3222,174,648,24121,0d7f4b4d-5ceb-4bff-b71a-9c34ca2565b2
Cristal Rocío Torres,cristalrocíotorres,cristalrocíotorres@hotmail.com,86840398928,1963-02-07,"Calzada Senegal 106 Interior 806, San Lorena de la Montaña, OAX 45058-3547",1-376-039-5079x568,44:31:69:4b:1b:d7,84.0.67.193,GB90IZDZ2085573391978,2026-05-27 00:06:57,21124,678,587,593087,1c7e0b1f-55d8-43c4-9bd2-71f929be1346
Rosa Ballesteros,rosaballesteros,rosaballesteros@hotmail.com,79022619799,1961-06-27,"Retorno Campos 293 Interior 180, Vieja Indonesia, SIN 61704",548.677.8277,70:dd:b4:72:35:14,136.224.17.115,GB28MHCR6203087310150,2026-05-27 00:06:57,30337,956,523,1353757,d7213505-cea4-40c4-885d-c58db56aef05
Sra. Adela León,sra.adelaleón,sra.adelaleón@yahoo.com,16995096555,2012-01-31,"Avenida Sur Riojas 059 656, San Teresa los bajos, GTO 72590-6483",300.800.9942,7e:29:3f:07:ed:5f,161.211.118.34,GB50IFCM9571952629073,2026-05-27 00:06:57,19929,864,395,673388,d0bc46f9-e530-417a-a5c7-541dc9bca42f
Luis Miguel Aldo Farías Méndez,luismiguelaldofaríasméndez,luismiguelaldofaríasméndez@gmail.com,57818277543,1972-12-05,"Prolongación Tamaulipas 852 818, San Eric de la Montaña, GTO 21954",(901)317-0992x531,38:47:58:ed:3c:a9,137.71.130.135,GB57WLAS6373715802006,2026-05-27 00:06:57,35861,818,384,1180405,ba68b408-8f60-4600-8f0c-aad125dd3674
Diana Natividad Olmos Velásquez,diananatividadolmosvelásquez,diananatividadolmosvelásquez@gmail.com,73519660341,1923-03-01,"Cerrada Nuevo León 978 Interior 369, Nueva Luxemburgo, GRO 13231-0599",971-711-8991,56:36:26:75:1e:bb,223.26.250.51,GB61WODR3044157257063,2026-05-27 00:06:57,14876,864,211,1886543,e446bc8e-4422-4dd4-8dca-9e5dd566c87d
Manuel Rafaél Mayorga Angulo,manuelrafaélmayorgaangulo,manuelrafaélmayorgaangulo@yahoo.com,41388089082,1925-06-24,"Peatonal Norte Corona 614 028, Vieja Iraq, HGO 94583",195.407.0621x65083,32:83:c4:a4:e7:63,167.174.93.236,GB57PQMQ2155631608284,2026-05-27 00:06:57,8422,966,521,1111731,723430d0-37d5-4dd5-9bb3-962d919073bf
Andrés Abel Nevárez,andrésabelnevárez,andrésabelnevárez@yahoo.com,16280570785,1998-02-04,"Cerrada Congo 235 Interior 398, Vieja Sudán del Sur, SON 18995",1-617-615-3914,68:f8:1d:4f:99:47,7.199.115.207,GB83AUIP8658076334679,2026-05-27 00:06:57,11771,573,164,1202481,f71146d1-a10b-4e77-aff4-3d072803fa69
José Emilio Verdugo de la Fuente,joséemilioverdugodelafuente,joséemilioverdugodelafuente@hotmail.com,57175367473,2015-12-19,"Eje vial Alva 602 Interior 949, San Irma los altos, VER 65051",1-776-975-2058x785,58:62:2a:3b:e4:78,57.67.242.154,GB18UMKB1701872524498,2026-05-27 00:06:57,17017,980,613,334284,c336f539-810a-4106-9e12-84b2d23eb148
Renato Bernardo Gamboa,renatobernardogamboa,renatobernardogamboa@gmail.com,48247266371,1990-06-20,"Corredor Sinaloa 319 Edif. 525 , Depto. 785, San Paulina los altos, GRO 81911-2605",288.891.0171,90:44:e4:fe:c9:00,41.140.92.215,GB97GRWI3287596358346,2026-05-27 00:06:57,30185,480,581,890922,462f71e1-d16e-43f3-94ea-995656e0519a
Lic. Amanda del Valle,lic.amandadelvalle,lic.amandadelvalle@hotmail.com,58826692285,1917-05-30,"Viaducto Sonora 368 Edif. 101 , Depto. 617, Vieja Costa Rica, TAB 40235",910-660-4210x832,9e:ea:a5:fa:75:c9,43.51.12.44,GB98KTHS4373269157857,2026-05-27 00:06:57,26718,56,380,1434812,d897426c-f5d4-4cba-bd0b-b8706d92fe10
Delia Frida de la O Amaya,deliafridadelaoamaya,deliafridadelaoamaya@hotmail.com,55357998834,1994-03-10,"Retorno Turquía 434 Interior 727, Nueva Reino Unido de Gran Bretaña e Irlanda del Norte, DF 43122",08872908743,aa:70:22:7d:57:8c,84.254.76.118,GB76WGDS9857081504150,2026-05-27 00:06:57,1273,151,446,49407,55e8e64d-3f34-4640-b8b3-b388d7d82455
Héctor Vargas Ocasio,héctorvargasocasio,héctorvargasocasio@gmail.com,53380999507,2013-08-19,"Viaducto Sur Velasco 965 Interior 710, San Asunción los altos, Q. ROO 79369",00302498899,f8:80:ea:ea:f4:a0,80.68.145.63,GB43BFJY1861617415202,2026-05-27 00:06:57,5953,947,466,1632063,11326788-662d-453a-a521-06fd772aa3b7
Camilo Badillo,camilobadillo,camilobadillo@hotmail.com,20974344168,1937-02-02,"Retorno Japón 681 080, Vieja Zambia, PUE 19832-6531",(663)210-3486x33813,9e:90:3b:86:28:cc,132.147.162.134,GB46MFJZ7041935547721,2026-05-27 00:06:57,15332,215,192,451601,25fab6a4-9fe6-421f-b2d6-0ae9c8b1091f
Pamela Martha Ortega Terrazas,pamelamarthaortegaterrazas,pamelamarthaortegaterrazas@gmail.com,31788822984,1995-07-13,"Eje vial Ghana 071 Interior 839, San Isabela los altos, GRO 42075",(666)594-2339,5e:7a:fd:28:e1:d7,35.170.3.246,GB20SFNO8150697918178,2026-05-27 00:06:57,13265,295,326,847602,98412451-5069-4f8d-80c7-072ea31d6bda
Gabino Camilo Chacón Maestas,gabinocamilochacónmaestas,gabinocamilochacónmaestas@yahoo.com,26492108670,1928-03-21,"Continuación Sur Gálvez 844 Edif. 180 , Depto. 434, San Vanesa los altos, GRO 12115",(761)991-6651x98120,e0:ca:9f:1f:e8:61,121.106.246.115,GB89JLGS6075515944662,2026-05-27 00:06:57,9707,943,283,841120,ed9592ee-36ce-4eae-8091-2c35b656dcb3
Ing. Cynthia Porras,ing.cynthiaporras,ing.cynthiaporras@yahoo.com,50862437808,1935-04-11,"Andador Altamirano 028 057, Vieja Irán, CHIH 94969-5318",+15(4)1467632561,76:ba:a4:46:20:92,23.140.20.254,GB74XAVN2822594191815,2026-05-27 00:06:57,4977,508,586,107176,65c66133-197e-48d0-944d-c445661c657d
Angélica Parra,angélicaparra,angélicaparra@hotmail.com,67093960820,2024-06-05,"Calle Cervántez 687 516, Vieja Jamaica, NL 30761-7972",952-914-9636x145,54:3a:3a:6a:e9:56,72.251.228.127,GB77AXYS0475456889087,2026-05-27 00:06:57,24604,570,579,561614,2b8a2c17-5b4e-4c5b-9b95-b235b81ed6d8
Dra. Natividad Collado,dra.natividadcollado,dra.natividadcollado@yahoo.com,72772424494,1975-04-07,"Calzada Norte Leiva 117 869, San Amanda los altos, DF 45929",199-048-7559x36274,50:a6:0e:bb:9d:bd,187.186.139.100,GB16XJOV7408026069099,2026-05-27 00:06:57,11816,119,405,1123038,ef865500-4d6d-4a1e-9f0e-852994d44f44
Jorge Luis Isaac Delgado,jorgeluisisaacdelgado,jorgeluisisaacdelgado@gmail.com,79691849883,1961-11-02,"Circunvalación Baja California 929 Edif. 242 , Depto. 617, Nueva República de Moldova, QRO 61499",777-052-3230,ec:7b:0d:05:5d:d2,35.132.34.59,GB21FPAC1865319060239,2026-05-27 00:06:57,16890,289,587,325182,22fc4982-9910-42ba-8c28-60845d283a7f
Ernesto Espinosa,ernestoespinosa,ernestoespinosa@gmail.com,60210242396,2010-01-07,"Eje vial Verduzco 627 625, Nueva República de Corea, ZAC 05557",030.493.5234,c6:f3:20:84:2a:69,217.50.247.155,GB76AMAG8614530480333,2026-05-27 00:06:57,12563,897,375,1496888,5f9494b5-4c98-464a-ac20-362c52f6a2d4
Lucas Ricardo Olivo,lucasricardoolivo,lucasricardoolivo@yahoo.com,67635972762,1934-04-08,"Diagonal Mayorga 250 Interior 796, San Miguel Ángel de la Montaña, AGS 61073",1-513-551-2222x2327,3a:38:d5:26:91:08,191.28.225.67,GB81MWQL9588990778454,2026-05-27 00:06:57,16552,97,191,1680015,eba0c781-5743-4fe4-a9f8-0e1f77786aa6
Leonardo Zeferino Naranjo Cazares,leonardozeferinonaranjocazares,leonardozeferinonaranjocazares@gmail.com,68905068752,1951-05-15,"Cerrada Ucrania 766 760, Vieja Paraguay, NAY 65206-5859",+87(1)3069566769,40:ba:a9:28:61:70,7.172.204.5,GB75TBRE3806092982675,2026-05-27 00:06:57,5615,304,426,929110,3a1e2a5d-3fb2-4453-991d-9a44d5c03603
Dr. Enrique Elizondo,dr.enriqueelizondo,dr.enriqueelizondo@gmail.com,77815958564,2025-06-04,"Circuito Olivares 260 680, Vieja Australia, VER 58400",(361)729-1937x474,da:b7:15:e8:99:49,168.148.57.28,GB68FRGA1128771826979,2026-05-27 00:06:57,33778,101,360,591280,942c0ec6-62a5-4abe-b30b-db80b9fd8223
Estela Noelia Vega,estelanoeliavega,estelanoeliavega@gmail.com,26132982476,1971-02-03,"Andador Sudán del Sur 826 Edif. 916 , Depto. 393, Vieja Singapur, SLP 05569-2644",(597)228-8200,6c:f7:62:fa:d3:b4,73.14.109.50,GB43DEXK3630646429905,2026-05-27 00:06:57,6609,133,304,1750269,bd740521-ed8f-4a19-9135-067b5419bf0d
Claudia Orozco Moya,claudiaorozcomoya,claudiaorozcomoya@hotmail.com,27605953978,1952-05-18,"Circunvalación Guerrero 762 342, Vieja Etiopía, CAMP 58049",985-819-9188x66982,8c:e6:08:1d:08:3d,151.121.41.211,GB47VCOL0462914962701,2026-05-27 00:06:57,10496,119,118,1507352,6700f4d1-f1c5-44be-b5c4-40932ff98841
Andrés Cardona Lomeli,andréscardonalomeli,andréscardonalomeli@hotmail.com,66874515720,1943-07-21,"Circuito Palomino 335 Edif. 811 , Depto. 099, Vieja Islandia, PUE 82681",1-780-843-0675,08:ab:1a:d0:fd:13,182.6.126.27,GB68AQUY8554967978355,2026-05-27 00:06:57,21169,620,345,1092986,bac924cf-6d38-441a-a8ab-4ac1ef8b0ec1
Frida Melgar,fridamelgar,fridamelgar@gmail.com,7245935379,1955-02-15,"Prolongación Guerrero 657 Interior 532, Vieja San Marino, AGS 70816-2727",461.684.3919x93833,5a:06:d2:50:30:fd,130.142.234.113,GB09FPYS3668373144979,2026-05-27 00:06:57,11111,158,222,1719437,b7abf5c0-3c2d-4bde-bfcc-f548932a4030
Hermelinda Liliana Segovia Carrasco,hermelindalilianasegoviacarrasco,hermelindalilianasegoviacarrasco@yahoo.com,24325352573,1964-03-20,"Diagonal Ghana 026 Interior 608, San Isabel los bajos, ZAC 07282-6554",422-740-1916,36:19:87:98:28:65,29.213.143.19,GB11BEOD6294948861527,2026-05-27 00:06:57,9854,103,207,1353619,3857d322-5a1d-402e-b6ca-844d61642fce
Sra. Asunción Durán,sra.asuncióndurán,sra.asuncióndurán@hotmail.com,42119255315,1993-01-29,"Eje vial Sur Alvarez 186 Interior 110, San Alejandro los bajos, SLP 24176-2482",061.908.0036x97582,c4:41:3f:a2:1a:38,63.0.139.63,GB53UZSN5353217995150,2026-05-27 00:06:57,9089,98,107,1050894,54965e66-cfee-4a67-ae3b-599c4309d5fd
Mercedes Luisa Castillo Treviño,mercedesluisacastillotreviño,mercedesluisacastillotreviño@gmail.com,44168059796,2013-07-20,"Corredor Sur Vázquez 181 Edif. 855 , Depto. 344, Vieja Myanmar, MEX 45271",(744)081-4742x4658,74:02:fc:9b:d8:ad,218.33.52.70,GB27KNXR9500256912108,2026-05-27 00:06:57,20523,973,714,1704709,46b2f3da-ad77-42e4-8b69-420edfc5eab5
Tomás Marco Antonio Zelaya,tomásmarcoantoniozelaya,tomásmarcoantoniozelaya@gmail.com,44798000335,2001-11-07,"Pasaje Gaytán 103 Interior 381, San Diana los bajos, TAB 71303",(783)391-7008,b6:75:c7:1b:29:2f,48.214.56.189,GB87RKYU4676860327067,2026-05-27 00:06:57,14667,26,210,1404016,27c6f730-66f5-4700-83da-879e2817b519
Salma Salma Mojica,salmasalmamojica,salmasalmamojica@hotmail.com,92717204058,1986-09-03,"Continuación Jalisco 379 Interior 124, San Nelly de la Montaña, TAB 90377-9961",772.005.4945,f4:cb:df:e6:dd:04,87.15.79.190,GB22JPFN9698622762438,2026-05-27 00:06:57,35372,223,98,1818219,2cd49fc9-7957-44bd-9c0a-ef1dd17cba92
Mitzy Victoria García,mitzyvictoriagarcía,mitzyvictoriagarcía@yahoo.com,55542648203,1956-08-14,"Eje vial Veracruz de Ignacio de la Llave 790 Interior 381, Nueva Yemen, OAX 25308-4303",06101184351,9e:63:4a:e7:a0:b8,171.249.217.164,GB53NCVG6033182885765,2026-05-27 00:06:57,28101,754,270,713394,435ff551-70db-463d-817b-0fcc0016494f
